task,seed,step,reward
CartpoleSwingupSparse,3,59965440,0.0000
CartpoleSwingupSparse,3,60948480,0.0000
CartpoleSwingupSparse,3,61931520,0.0000
CartpoleSwingupSparse,3,62914560,0.0000
CartpoleSwingupSparse,3,63897600,0.0000
CartpoleSwingupSparse,3,64880640,0.0000
CartpoleSwingupSparse,3,65863680,0.0000
CartpoleSwingupSparse,3,66846720,0.0000
CartpoleSwingupSparse,3,67829760,0.0000
CartpoleSwingupSparse,3,68812800,0.0000
CartpoleSwingupSparse,3,69795840,0.0000
CartpoleSwingupSparse,3,70778880,0.0000
CartpoleSwingupSparse,3,71761920,0.0000
CartpoleSwingupSparse,3,72744960,0.0000
CartpoleSwingupSparse,3,73728000,0.0000
CartpoleSwingupSparse,3,74711040,0.0000
CartpoleSwingupSparse,4,1966080,0.0000
CartpoleSwingupSparse,4,2949120,0.0000
CartpoleSwingupSparse,4,3932160,0.0000
CartpoleSwingupSparse,4,4915200,0.0000
CartpoleSwingupSparse,4,5898240,0.0000
CartpoleSwingupSparse,4,6881280,0.0322
CartpoleSwingupSparse,4,7864320,0.0239
CartpoleSwingupSparse,4,8847360,0.0132
CartpoleSwingupSparse,4,9830400,0.0698
CartpoleSwingupSparse,4,10813440,0.2861
CartpoleSwingupSparse,4,11796480,0.8198
CartpoleSwingupSparse,4,12779520,1.7900
CartpoleSwingupSparse,4,13762560,3.5132
CartpoleSwingupSparse,4,14745600,7.2446
CartpoleSwingupSparse,4,15728640,11.7441
CartpoleSwingupSparse,4,16711680,15.7690
CartpoleSwingupSparse,4,17694720,22.0176
CartpoleSwingupSparse,4,18677760,31.3662
CartpoleSwingupSparse,4,19660800,30.8311
CartpoleSwingupSparse,4,20643840,27.9146
CartpoleSwingupSparse,4,21626880,16.5757
CartpoleSwingupSparse,4,22609920,27.5859
CartpoleSwingupSparse,4,23592960,30.7954
CartpoleSwingupSparse,4,24576000,31.1270
CartpoleSwingupSparse,4,25559040,26.6152
CartpoleSwingupSparse,4,26542080,31.1548
CartpoleSwingupSparse,4,27525120,38.2471
CartpoleSwingupSparse,4,28508160,43.2129
CartpoleSwingupSparse,4,29491200,46.8379
CartpoleSwingupSparse,4,30474240,52.8145
CartpoleSwingupSparse,4,31457280,57.7671
CartpoleSwingupSparse,4,32440320,57.9551
CartpoleSwingupSparse,4,33423360,57.2959
CartpoleSwingupSparse,4,34406400,62.1768
CartpoleSwingupSparse,4,35389440,60.5308
CartpoleSwingupSparse,4,36372480,71.6904
CartpoleSwingupSparse,4,37355520,65.2031
CartpoleSwingupSparse,4,38338560,76.2207
CartpoleSwingupSparse,4,39321600,73.0454
CartpoleSwingupSparse,4,40304640,78.4434
CartpoleSwingupSparse,4,41287680,115.8926
CartpoleSwingupSparse,4,42270720,121.1362
CartpoleSwingupSparse,4,43253760,141.0625
CartpoleSwingupSparse,4,44236800,134.1562
CartpoleSwingupSparse,4,45219840,164.2686
CartpoleSwingupSparse,4,46202880,157.0796
CartpoleSwingupSparse,4,47185920,193.8813
CartpoleSwingupSparse,4,48168960,182.7334
CartpoleSwingupSparse,4,49152000,226.1040
CartpoleSwingupSparse,4,50135040,216.4556
CartpoleSwingupSparse,4,51118080,237.6802
CartpoleSwingupSparse,4,52101120,257.7822
CartpoleSwingupSparse,4,53084160,224.7158
CartpoleSwingupSparse,4,54067200,333.9019
CartpoleSwingupSparse,4,55050240,375.2100
CartpoleSwingupSparse,4,56033280,475.0742
CartpoleSwingupSparse,4,57016320,500.9463
CartpoleSwingupSparse,4,57999360,558.4600
CartpoleSwingupSparse,4,58982400,578.8647
CartpoleSwingupSparse,4,59965440,584.2744
CartpoleSwingupSparse,4,60948480,599.0659
CartpoleSwingupSparse,4,61931520,537.5552
CartpoleSwingupSparse,4,62914560,573.3740
CartpoleSwingupSparse,4,63897600,598.3394
CartpoleSwingupSparse,4,64880640,582.5845
CartpoleSwingupSparse,4,65863680,238.2119
CartpoleSwingupSparse,4,66846720,582.4883
CartpoleSwingupSparse,4,67829760,589.0845
CartpoleSwingupSparse,4,68812800,582.7158
CartpoleSwingupSparse,4,69795840,575.7349
CartpoleSwingupSparse,4,70778880,563.3916
CartpoleSwingupSparse,4,71761920,588.1758
CartpoleSwingupSparse,4,72744960,622.8813
CartpoleSwingupSparse,4,73728000,551.8677
CartpoleSwingupSparse,4,74711040,630.8818
CartpoleSwingupSparse,5,1966080,0.0029
CartpoleSwingupSparse,5,2949120,0.0854
CartpoleSwingupSparse,5,3932160,0.5088
CartpoleSwingupSparse,5,4915200,0.3584
CartpoleSwingupSparse,5,5898240,0.8149
CartpoleSwingupSparse,5,6881280,2.7686
CartpoleSwingupSparse,5,7864320,8.9058
CartpoleSwingupSparse,5,8847360,12.0391
CartpoleSwingupSparse,5,9830400,14.3574
CartpoleSwingupSparse,5,10813440,22.9565
CartpoleSwingupSparse,5,11796480,23.8042
CartpoleSwingupSparse,5,12779520,26.3955
CartpoleSwingupSparse,5,13762560,27.6460
CartpoleSwingupSparse,5,14745600,27.1611
CartpoleSwingupSparse,5,15728640,27.6724
CartpoleSwingupSparse,5,16711680,27.5410
CartpoleSwingupSparse,5,17694720,27.5376
CartpoleSwingupSparse,5,18677760,28.5801
CartpoleSwingupSparse,5,19660800,29.1929
CartpoleSwingupSparse,5,20643840,21.6714
CartpoleSwingupSparse,5,21626880,21.5698
CartpoleSwingupSparse,5,22609920,29.1177
CartpoleSwingupSparse,5,23592960,32.4062
CartpoleSwingupSparse,5,24576000,31.5190
CartpoleSwingupSparse,5,25559040,32.5508
CartpoleSwingupSparse,5,26542080,32.3433
CartpoleSwingupSparse,5,27525120,34.4536
CartpoleSwingupSparse,5,28508160,34.0381
CartpoleSwingupSparse,5,29491200,35.0767
CartpoleSwingupSparse,5,30474240,36.0771
CartpoleSwingupSparse,5,31457280,37.4058
CartpoleSwingupSparse,5,32440320,39.3140
CartpoleSwingupSparse,5,33423360,38.8511
CartpoleSwingupSparse,5,34406400,34.2739
CartpoleSwingupSparse,5,35389440,29.1689
CartpoleSwingupSparse,5,36372480,33.4917
CartpoleSwingupSparse,5,37355520,32.4541
CartpoleSwingupSparse,5,38338560,34.7134
CartpoleSwingupSparse,5,39321600,61.8096
CartpoleSwingupSparse,5,40304640,52.9390
CartpoleSwingupSparse,5,41287680,64.4253
CartpoleSwingupSparse,5,42270720,64.2842
CartpoleSwingupSparse,5,43253760,68.8726
CartpoleSwingupSparse,5,44236800,73.0103
CartpoleSwingupSparse,5,45219840,76.8413
CartpoleSwingupSparse,5,46202880,76.6880
CartpoleSwingupSparse,5,47185920,80.0439
CartpoleSwingupSparse,5,48168960,79.8350
CartpoleSwingupSparse,5,49152000,88.0020
CartpoleSwingupSparse,5,50135040,79.6924
CartpoleSwingupSparse,5,51118080,93.9546
CartpoleSwingupSparse,5,52101120,99.1484
CartpoleSwingupSparse,5,53084160,104.1108
CartpoleSwingupSparse,5,54067200,104.8027
CartpoleSwingupSparse,5,55050240,110.3970
CartpoleSwingupSparse,5,56033280,110.1479
CartpoleSwingupSparse,5,57016320,112.4375
CartpoleSwingupSparse,5,57999360,118.4263
CartpoleSwingupSparse,5,58982400,127.7329
CartpoleSwingupSparse,5,59965440,134.9536
CartpoleSwingupSparse,5,60948480,129.9927
